episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
184, -5645.186202555895, 2, 19.53778006399989, 1082, 104687,                                             104687, 0.0, 3914.450927734375
185, -2696.8872531056404, 2, 3.1228726750000533, 162, 104849,                                             104849, 0.0, 4542.9365234375
186, -3464.4418590068817, 3, 4.702739767999901, 243, 105092,                                             105092, 0.0, 4083.724365234375
187, -3092.8156645298004, 2, 4.119293871999616, 225, 105317,                                             105317, 0.0, 4297.197265625
188, -3048.0311888456345, 2, 4.121677282999826, 221, 105538,                                             105538, 0.0, 5036.162109375
189, -4647.424419999123, 2, 7.106308407000142, 386, 105924,                                             105924, 0.0, 4085.42138671875
190, -4476.142373085022, 2, 6.320840556000348, 337, 106261,                                             106261, 0.0, 4090.984130859375
191, -2710.0963116288185, 2, 3.103634993000014, 162, 106423,                                             106423, 0.0, 4203.43115234375
192, -1332.7692689299583, 1, 18.137066355000115, 996, 107419,                                             107419, 0.0, 4553.57275390625
193, -2633.5761861801147, 2, 1.3013470880000568, 53, 107472,                                             107472, 0.0, 4869.716796875
194, 2032.5137394964695, 1, 3.705671458999859, 186, 107658,                                             107658, 0.0, 4155.6103515625
195, -3244.0402468442917, 2, 6.326587693999954, 339, 107997,                                             107997, 0.0, 4043.280517578125
196, 2137.4824692606926, 1, 2.299808039999789, 109, 108106,                                             108106, 0.0, 5104.5888671875
197, -3052.856345653534, 2, 1.9246045760000925, 99, 108205,                                             108205, 0.0, 4423.498046875
198, -5383.761951029301, 2, 17.533489680000002, 958, 109163,                                             109163, 0.0, 3789.011962890625
199, 2049.1893076896667, 1, 2.9211564400002317, 154, 109317,                                             109317, 0.0, 4359.943359375
200, -3554.4504584670067, 2, 6.506446554000377, 331, 109648,                                             109648, 0.0, 4239.279296875
201, 2199.6511667370796, 1, 2.692240641999888, 128, 109776,                                             109776, 0.0, 3865.54736328125
202, -5728.282137989998, 2, 13.529472059, 741, 110517,                                             110517, 0.0, 3815.619140625
203, -3258.0339498519897, 2, 4.724446586999875, 227, 110744,                                             110744, 0.0, 4062.043701171875
204, 1469.1796993017197, 1, 5.704857397000069, 292, 111036,                                             111036, 0.0, 4031.8642578125
205, -2543.729038000107, 2, 1.3057664160000968, 60, 111096,                                             111096, 0.0, 3455.283935546875
206, 1584.3443499803543, 1, 5.506924422999873, 297, 111393,                                             111393, 0.0, 4308.94482421875
207, 360.6980759501457, 1, 11.131831946000148, 617, 112010,                                             112010, 0.0, 4110.515625
208, -2651.9850192070007, 2, 0.8995875670002533, 30, 112040,                                             112040, 0.0, 3141.792236328125
209, -3450.5865020751953, 2, 5.3483843349999916, 277, 112317,                                             112317, 0.0, 4151.443359375
210, 2064.043364405632, 1, 2.8990864570000667, 131, 112448,                                             112448, 0.0, 4706.15234375
211, -3121.9681984484196, 1, 21.50504220499988, 1172, 113620,                                             113620, 0.0, 4587.52099609375
212, -2605.692944049835, 2, 1.3011820340002487, 55, 113675,                                             113675, 0.0, 3203.723388671875
213, -2992.9267812371254, 2, 3.324119456000062, 181, 113856,                                             113856, 0.0, 4845.21484375
214, 1894.6947965621948, 1, 3.3030981259998953, 164, 114020,                                             114020, 0.0, 5123.6689453125
215, -3419.283534526825, 2, 7.3256900150004185, 392, 114412,                                             114412, 0.0, 4742.89990234375
216, 2097.253163099289, 1, 3.3252640059999976, 182, 114594,                                             114594, 0.0, 5118.00537109375
217, -3024.1682612895966, 2, 2.7200612470001033, 141, 114735,                                             114735, 0.0, 3712.36181640625
218, -2886.8401886224747, 2, 3.9024391449997893, 207, 114942,                                             114942, 0.0, 4374.90478515625
219, -6640.986833155155, 2, 18.93314989800001, 1044, 115986,                                             115986, 0.0, 4519.38671875
220, 2077.9983029961586, 1, 2.5006297279996943, 117, 116103,                                             116103, 0.0, 4840.5693359375
221, -4731.683796942234, 3, 10.096445646999655, 541, 116644,                                             116644, 0.0, 4609.3828125
222, 2372.3616735339165, 1, 1.9018300180000551, 81, 116725,                                             116725, 0.0, 3879.666015625
