episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
167, -3680.150125980377, 2, 6.351065343999835, 352, 59910,                                             59910, 0.0, 6233.6826171875
168, -2626.770879983902, 2, 1.664282698000079, 92, 60002,                                             60002, 0.0, 4963.34326171875
169, -2506.420986533165, 2, 1.2127991719999045, 69, 60071,                                             60071, 0.0, 5115.83056640625
170, -2859.023307800293, 2, 1.9602579449997393, 110, 60181,                                             60181, 0.0, 6161.15234375
171, -5127.859758138657, 2, 7.4739730139999665, 402, 60583,                                             60583, 0.0, 6899.57421875
172, -4080.6184216737747, 2, 6.142580319999979, 342, 60925,                                             60925, 0.0, 6552.2275390625
173, -5054.097399830818, 2, 11.196118823999768, 606, 61531,                                             61531, 0.0, 6703.9111328125
174, -5169.255524754524, 3, 7.130379400000038, 384, 61915,                                             61915, 0.0, 6231.390625
175, -2469.8847739696503, 2, 1.3008968669996648, 70, 61985,                                             61985, 0.0, 5743.56298828125
176, -3271.0579760074615, 2, 4.51175024000031, 238, 62223,                                             62223, 0.0, 5816.1298828125
177, -2359.9068151712418, 2, 1.1704514969997035, 65, 62288,                                             62288, 0.0, 6929.896484375
178, -3102.5157383680344, 2, 3.720031955000195, 208, 62496,                                             62496, 0.0, 6931.44580078125
179, -9207.345705032349, 2, 17.83510244199988, 995, 63491,                                             63491, 0.0, 6020.64599609375
180, -5075.910373210907, 2, 9.200316894000025, 515, 64006,                                             64006, 0.0, 6424.59375
181, -3612.100084066391, 3, 3.707013882999945, 207, 64213,                                             64213, 0.0, 5785.84716796875
182, -2773.6327726840973, 2, 2.037114792000011, 117, 64330,                                             64330, 0.0, 6899.767578125
183, -2775.3676674365997, 2, 1.3703216219996648, 77, 64407,                                             64407, 0.0, 6865.404296875
184, -2692.5550763607025, 2, 1.6402387699999963, 93, 64500,                                             64500, 0.0, 6481.359375
185, -2930.200074195862, 2, 1.9127341220000744, 107, 64607,                                             64607, 0.0, 7753.90283203125
186, -3561.5378400087357, 2, 5.672608927000056, 320, 64927,                                             64927, 0.0, 6334.90478515625
187, -2643.4965422153473, 2, 1.942191854000157, 86, 65013,                                             65013, 0.0, 5491.91748046875
188, -3882.684409379959, 2, 3.2002964009998323, 173, 65186,                                             65186, 0.0, 5843.9658203125
189, -3515.378237962723, 2, 3.081906775999869, 168, 65354,                                             65354, 0.0, 5406.2353515625
190, -2864.4411985874176, 2, 1.686561537000216, 95, 65449,                                             65449, 0.0, 4300.2900390625
191, -3236.1504514217377, 2, 2.006678784000087, 112, 65561,                                             65561, 0.0, 5179.27197265625
192, -3637.1061742305756, 2, 4.4543162899999516, 252, 65813,                                             65813, 0.0, 6606.3037109375
193, -4991.95597589016, 2, 5.830957581999883, 325, 66138,                                             66138, 0.0, 5120.453125
194, -2620.775086045265, 2, 1.494285407999996, 82, 66220,                                             66220, 0.0, 6000.658203125
195, -2642.3305716514587, 2, 1.5155496329998641, 85, 66305,                                             66305, 0.0, 5891.31591796875
196, 1944.868760228157, 1, 2.8332212999998774, 159, 66464,                                             66464, 0.0, 5073.52783203125
197, -5801.834383249283, 2, 7.975864141000329, 427, 66891,                                             66891, 0.0, 6023.318359375
198, -5830.859654068947, 2, 7.503716130000157, 419, 67310,                                             67310, 0.0, 5709.85205078125
199, -3347.723721265793, 2, 3.625005498999599, 202, 67512,                                             67512, 0.0, 6450.67529296875
200, -6623.057270824909, 2, 14.492724503000318, 815, 68327,                                             68327, 0.0, 6415.83935546875
201, -4637.247690439224, 3, 4.2501693660001365, 228, 68555,                                             68555, 0.0, 5923.13525390625
202, -2616.8856785297394, 2, 1.2615053690001332, 71, 68626,                                             68626, 0.0, 5814.62353515625
203, -11533.824872374535, 2, 19.85876024900017, 1113, 69739,                                             69739, 0.0, 5585.48583984375
204, -3732.0824291706085, 2, 2.456718378000005, 141, 69880,                                             69880, 0.0, 5650.0224609375
205, -5273.830947399139, 3, 9.38142477700012, 513, 70393,                                             70393, 0.0, 5777.615234375
206, -4548.229885101318, 2, 6.321214386000065, 335, 70728,                                             70728, 0.0, 5807.9169921875
207, 1560.7933882772923, 1, 1.7321995309998783, 98, 70826,                                             70826, 0.0, 5311.7412109375
208, -4895.410628318787, 2, 6.490010054999857, 344, 71170,                                             71170, 0.0, 5665.48876953125
209, -3602.596163868904, 2, 4.349707770999885, 241, 71411,                                             71411, 0.0, 6448.35595703125
210, -2796.2261419296265, 2, 1.5229731470003571, 84, 71495,                                             71495, 0.0, 6066.9072265625
211, -4302.421958565712, 3, 4.873058666999896, 269, 71764,                                             71764, 0.0, 5479.54150390625
212, -3879.6013182401657, 2, 6.0712000069997885, 325, 72089,                                             72089, 0.0, 4832.95556640625
213, -2869.584178209305, 2, 2.2279642440003045, 123, 72212,                                             72212, 0.0, 4414.29541015625
214, -5624.209824323654, 2, 8.590781882000101, 455, 72667,                                             72667, 0.0, 5379.9677734375
215, -8929.162682890892, 2, 18.957125590000032, 1038, 73705,                                             73705, 0.0, 5475.2666015625
216, -5658.25947201252, 2, 8.726559570000063, 478, 74183,                                             74183, 0.0, 5445.34716796875
217, -4255.370021224022, 2, 5.723022901999684, 306, 74489,                                             74489, 0.0, 5397.13037109375
218, -3335.2869317531586, 3, 3.0601393770002687, 171, 74660,                                             74660, 0.0, 5980.4130859375
219, 651.3963344693184, 1, 6.956472518999817, 386, 75046,                                             75046, 0.0, 5463.6650390625
220, -5776.516424179077, 2, 10.048409096999876, 547, 75593,                                             75593, 0.0, 5640.17431640625
221, -4021.072756052017, 2, 5.1654123139996955, 272, 75865,                                             75865, 0.0, 5529.7705078125
222, -5209.765853822231, 2, 9.768369487999735, 551, 76416,                                             76416, 0.0, 6087.06689453125
223, -3065.9364676475525, 2, 3.1853864639997482, 176, 76592,                                             76592, 0.0, 6360.47216796875
224, -3039.4070415496826, 2, 3.107962196000244, 167, 76759,                                             76759, 0.0, 5589.20263671875
225, -2807.209321498871, 2, 2.015323119000186, 108, 76867,                                             76867, 0.0, 6155.51318359375
226, -2635.307961463928, 2, 1.8641899750000448, 101, 76968,                                             76968, 0.0, 6690.47607421875
227, -2647.682367324829, 2, 1.6044053129999156, 86, 77054,                                             77054, 0.0, 5717.08984375
228, -3026.959120094776, 2, 4.277653963000375, 234, 77288,                                             77288, 0.0, 5307.78955078125
229, -2691.9120757579803, 2, 1.8291834259998723, 102, 77390,                                             77390, 0.0, 4641.9501953125
230, -3959.8638274669647, 2, 3.595052732000113, 201, 77591,                                             77591, 0.0, 5801.041015625
231, 1528.5363609790802, 1, 2.5646467969995683, 144, 77735,                                             77735, 0.0, 5652.00048828125
232, -4744.367479085922, 2, 7.530368962000011, 413, 78148,                                             78148, 0.0, 5429.83837890625
233, -3292.341954231262, 2, 3.3285684490001586, 178, 78326,                                             78326, 0.0, 7043.744140625
234, -2519.8517343997955, 2, 1.3594236539997837, 72, 78398,                                             78398, 0.0, 6528.55322265625
235, -8848.100911617279, 2, 15.044731343999956, 832, 79230,                                             79230, 0.0, 5351.15869140625
236, -9516.465386509895, 2, 17.79457181099997, 977, 80207,                                             80207, 0.0, 5119.7763671875
237, -6296.449229836464, 2, 12.757554323000022, 694, 80901,                                             80901, 0.0, 5402.8701171875
238, -3048.1172420978546, 2, 2.6444593709998117, 146, 81047,                                             81047, 0.0, 5039.8564453125
239, -3614.7102897167206, 3, 5.37823525199974, 288, 81335,                                             81335, 0.0, 5915.9580078125
240, -5801.865107655525, 3, 12.726158532999762, 691, 82026,                                             82026, 0.0, 5252.35302734375
